sys_id,n_ie,n_pages,n_lines,n_chars
990000851400205171,1,11,244,7620
990000851410205171,1,54,4001,229487
990000851460205171,1,48,1731,51608
990000851470205171,1,43,3087,205401
990000851480205171,1,7,127,3491
990000851490205171,1,6,106,2783
990000851500205171,1,75,3207,124176
990000851510205171,1,28,1260,58800
990000851520205171,1,8,260,8570
990000851530205171,1,8,135,3257
990000851540205171,1,119,5284,210573
990000851550205171,1,180,8306,329453
990000851560205171,1,16,611,14701
990000851570205171,1,13,325,12328
990000851580205171,1,87,4476,181236
990000851590205171,1,14,399,20066
990000851600205171,1,7,99,3870
990000851610205171,1,86,3714,152771
990000851620205171,1,57,2271,81496
990000851630205171,1,43,1578,50784
990000851640205171,1,54,1740,56189
990000851650205171,1,40,1702,108868
990000851660205171,1,80,3471,193428
990000851670205171,1,14,374,11660
990000851680205171,1,22,775,20007
990000851690205171,1,16,852,61927
990000851700205171,1,9,248,12197
990000851710205171,1,16,811,42429
990000851720205171,1,21,931,58297
990000851730205171,1,14,746,18400
990000851740205171,1,8,150,4106
990000851750205171,1,12,259,10192
990000851760205171,1,7,102,2410
990000851770205171,1,13,470,16114
990000851780205171,1,50,2349,82910
990000851830205171,1,11,315,17848
990000851840205171,1,7,148,5624
990000851850205171,1,7,109,2405
990000851910205171,1,10,247,8311
990000851920205171,1,7,96,4284
990000851930205171,1,13,400,13588
990000851940205171,1,25,1010,44286
990000851950205171,1,8,157,3157
990000851960205171,1,6,141,2364
990000851970205171,1,12,474,31470
990000851980205171,1,78,2651,65002
990000851990205171,1,9,119,2302
990000852000205171,1,82,3956,206415
990000852090205171,1,14,559,28482
990000852100205171,1,20,446,13038
990000852110205171,3,485,16670,653091
990000852140205171,1,53,2581,105549
990000852150205171,1,18,337,7116
990000852160205171,1,20,636,17289
990000852200205171,1,10,248,6186
990000852210205171,1,13,649,30108
990000852220205171,1,6,81,1432
990000852410205171,1,7,91,2523
990000852420205171,1,86,4049,265181
990000852430205171,1,140,7299,399110
990000852450205171,1,16,426,13521
990000852460205171,1,7,138,2861
990000852470205171,1,18,655,28043
990000852480205171,1,14,470,15140
990000852490205171,1,8,137,2656
990000852500205171,1,14,663,16591
990000852510205171,1,16,676,38319
990000852520205171,1,7,112,3401
990000852530205171,1,12,351,14440
990000852540205171,1,13,368,14750
990000852550205171,1,9,260,6386
990000852570205171,1,7,102,4628
990000852580205171,1,7,113,4296
990000852590205171,1,8,173,7276
990000852600205171,1,7,164,7608
990000852610205171,1,8,150,8253
990000852620205171,1,12,369,22665
990000852630205171,1,8,125,3659
990000852640205171,1,13,453,26743
990000852710205171,1,53,956,18588
990000852760205171,1,164,6874,244377
990000852800205171,1,103,5100,252842
990000852830205171,1,108,6244,418767
990000852890205171,1,12,464,19921
990000852900205171,1,15,368,11634
990000852910205171,1,6,82,3554
990000852920205171,1,9,254,8998
990000852930205171,1,9,226,5794
990000852940205171,1,14,369,11123
990000852950205171,1,15,364,13985
990000852960205171,1,6,107,1699
990000852970205171,1,8,207,5518
990000852980205171,1,6,97,1866
990000852990205171,1,10,175,3772
990000853000205171,1,10,259,9196
990000853010205171,1,7,281,7447
990000853020205171,1,9,215,6059
990000853030205171,1,32,931,13540
990000853040205171,1,13,297,10420
990000853050205171,1,16,711,22381
990000853060205171,1,8,178,6004
990000853070205171,1,7,141,3369
990000853080205171,1,7,126,4194
990000853090205171,1,78,4771,340784
990000853120205171,1,11,304,11567
990000853160205171,1,16,600,34449
990000853170205171,1,126,6913,428714
990000853240205171,1,6,83,3609
990000853250205171,1,12,389,20208
990000853260205171,1,44,1228,39206
990000853270205171,3,87,2427,65789
990000853330205171,1,31,1357,52939
990000853340205171,1,12,363,9768
990000853350205171,1,12,237,8095
990000853360205171,1,38,1134,42517
990000853400205171,1,40,1314,34921
990000853410205171,1,13,407,16095
990000853420205171,1,6,86,1975
990000853430205171,2,20,460,12596
990000853440205171,2,72,2290,80925
990000853450205171,1,9,220,9422
990000853460205171,1,9,152,5251
990000853470205171,1,8,129,3032
990000853480205171,1,11,289,12689
990000853490205171,1,7,147,4753
990000853500205171,1,8,81,1651
990000853510205171,1,26,957,40917
990000853520205171,1,87,3911,184877
990000853530205171,1,12,263,9452
990000853540205171,1,132,6588,396859
990000853550205171,1,16,592,41444
990000853560205171,1,19,584,21083
990000853580205171,1,12,287,11358
990000853590205171,1,28,796,27671
