rank,tier,tier_reason,canonical_id,shelf_mark,institution_group,collection,ktiv_known,ktiv_ready,ktiv_manifest_url,ktiv_search_url
39,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Ar_49_33,T-S Ar.49.33,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Ar.49.33&searchType=METADATA&ftsMethod=0&searchName=regular"
40,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_Or_1081_2_4,CUL Or.1081 2.4,Cambridge_CUL,Oriental Manuscripts,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,CUL%20Or.1081%202.4&searchType=METADATA&ftsMethod=0&searchName=regular"
41,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_312_98,T-S NS 312.98,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20NS%20312.98&searchType=METADATA&ftsMethod=0&searchName=regular"
42,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Misc_28_149,T-S Misc.28.149,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Misc.28.149&searchType=METADATA&ftsMethod=0&searchName=regular"
43,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Misc_28_58,T-S Misc.28.58,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Misc.28.58&searchType=METADATA&ftsMethod=0&searchName=regular"
44,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_297_6,T-S NS 297.6,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20NS%20297.6&searchType=METADATA&ftsMethod=0&searchName=regular"
45,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Ar_41_140,T-S Ar.41.140,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Ar.41.140&searchType=METADATA&ftsMethod=0&searchName=regular"
46,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_H2_83,T-S H2.83,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20H2.83&searchType=METADATA&ftsMethod=0&searchName=regular"
47,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_AS_178_88,T-S AS 178.88,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20AS%20178.88&searchType=METADATA&ftsMethod=0&searchName=regular"
48,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Ar_39_471,T-S Ar.39.471,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Ar.39.471&searchType=METADATA&ftsMethod=0&searchName=regular"
49,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_102_110,T-S NS 102.110,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20NS%20102.110&searchType=METADATA&ftsMethod=0&searchName=regular"
50,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_G2_24,T-S G2.24,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20G2.24&searchType=METADATA&ftsMethod=0&searchName=regular"
51,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_162_34,T-S NS 162.34,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20NS%20162.34&searchType=METADATA&ftsMethod=0&searchName=regular"
52,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_70_10,T-S NS 70.10,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20NS%2070.10&searchType=METADATA&ftsMethod=0&searchName=regular"
53,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Ar_3_4,T-S Ar.3.4,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Ar.3.4&searchType=METADATA&ftsMethod=0&searchName=regular"
54,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_12_82,T-S 12.82,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%2012.82&searchType=METADATA&ftsMethod=0&searchName=regular"
55,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_AS_151_222,T-S AS 151.222,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20AS%20151.222&searchType=METADATA&ftsMethod=0&searchName=regular"
56,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_Or_1081_J28,CUL Or.1081 J28,Cambridge_CUL,Oriental Manuscripts,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,CUL%20Or.1081%20J28&searchType=METADATA&ftsMethod=0&searchName=regular"
57,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Ar_39_11,T-S Ar.39.11,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Ar.39.11&searchType=METADATA&ftsMethod=0&searchName=regular"
58,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_AS_116_11,T-S AS 116.11,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20AS%20116.11&searchType=METADATA&ftsMethod=0&searchName=regular"
59,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_Ar_39_280,T-S Ar.39.280,Cambridge_CUL,Taylor-Schechter,False,False,,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20Ar.39.280&searchType=METADATA&ftsMethod=0&searchName=regular"
